audit_id,gen_s,finish_reason,verdict,unknown_tables,unknown_columns,issues,sql,question
611,57.9,stop,FAIL,Maintenance_Master,,[unknown_table] Table 'Maintenance_Master' does not exist in the schema.,SELECT COUNT(*) AS NonFunctional FROM Maintenance_Master mm WHERE (mm.IsDeleted = 0 OR mm.IsDeleted IS NULL) AND mm.BranchID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (<scoping>)) AND mm.Status_ID = 2,"How many smart boards, projectors, or tablets are currently under maintenance or non-functional?"
609,37.3,stop,FAIL,InventoryEntry; InventoryEntryDetails; Vendor_Master,FeesCollection.Vendor_ID,[unknown_table] Table 'InventoryEntryDetails' does not exist in the schema. | [unknown_table] Table 'InventoryEntry' does not exist in the schema. | [unknown_table] Table 'Vendor_Master' does not exist in the schema. | [unknown_column] Column 'Vendor_ID' does not exist on table 'FeesCollection' (referenced as 'fc2.Vendor_ID'). | [unknown_column] Column 'Vendor_ID' does not exist on table 'FeesCollection' (referenced as 'fc2.Vendor_ID').,"SELECT TOP 1 v.Name AS VendorName, SUM(ied.Quantity) AS TotalQuantity, SUM(ied.Amount) AS TotalAmount, CASE WHEN SUM(paid.Amt) IS NULL THEN 0 ELSE SUM(paid.Amt) END AS PaidAmount, SUM(ied.Amount) - COALESCE(SUM(paid.Amt), 0) AS Outstanding FROM InventoryEntryDetails ied INNER JOIN InventoryEntry ie ON ied.HeaderID = ie.ID INNER JOIN Vendor_Master v ON ie.Vendor_ID = v.Id LEFT JOIN (SELECT fc2.Vendor_ID, ISNULL(SUM(fc2.Receipt_Amt), 0) AS Amt FROM FeesCollection fc2 WHERE fc2.ChequeStatus_ID IN (1, 2) AND (fc2.IsDeleted = 0 OR fc2.IsDeleted IS NULL) AND YEAR(fc2.Bill_Date) = YEAR(GETDATE()) GROUP BY fc2.Vendor_ID) paid ON ied.Vendor_ID = paid.Vendor_ID WHERE ie.BranchID IN (SELECT Branch_Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date) AND YEAR(ie.EntryDate) = YEAR(GETDATE()) AND (ie.IsDeleted = 0 OR ie.IsDeleted IS NULL) GROUP BY v.Name ORDER BY TotalAmount DESC","Which vendor has supplied the most inventory this year, and what is their pending payment status?"
607,11.4,stop,FAIL,LibraryIssueMaster; LibraryMemberShip,,[unknown_table] Table 'LibraryIssueMaster' does not exist in the schema. | [unknown_table] Table 'LibraryMemberShip' does not exist in the schema.,SELECT COUNT(*) AS LostOrOverdue FROM LibraryIssueMaster lim INNER JOIN LibraryMemberShip lmm ON lim.Member_ID = lmm.MemberID WHERE (lim.IsDeleted = 0 OR lim.IsDeleted IS NULL) AND lmm.IsActive = 1 AND (lim.IssueStatus_ID = 4 OR (GETDATE() > lim.ReturnDate AND lim.ReturnDate IS NOT NULL)),How many library books are currently marked as lost or overdue by students?
604,10.6,stop,FAIL,FixedAssetDetails; FixedAssetMaster,UserAccountRoleDetails.Branch_Id,[unknown_table] Table 'FixedAssetDetails' does not exist in the schema. | [unknown_table] Table 'FixedAssetMaster' does not exist in the schema. | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,SELECT SUM(fad.PurchaseAmount) AS TotalFixedAssetValue FROM FixedAssetDetails fad INNER JOIN FixedAssetMaster fam ON fad.FixedAssetID = fam.Id WHERE fam.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND fam.IsDeleted = 0 AND fad.IsDeleted = 0,"What is the total current value of fixed assets (computers, lab equipment, furniture) registered in the ERP?"
603,15.0,stop,FAIL,,UserAccountRoleDetails.Branch_Id,[unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.,"SELECT SUM(CASE WHEN Category_Name IN ('Textbook', 'Workbook') THEN 1 ELSE 0 END) AS TextbooksAndNotebooks FROM InventoryItem_Master iim INNER JOIN Branch_Academic_Details bad ON iim.AcademicYearID = bad.Id WHERE GETDATE() BETWEEN bad.Start_Date AND bad.End_Date AND iim.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND (iim.IsDeleted = 0 OR iim.IsDeleted IS NULL)",How many textbooks and notebooks are available in the school store for the next term?
602,9.1,stop,FAIL,,InventoryItem_Master.Item_Type_Name; InventoryItem_Master.Size_Name; UserAccountRoleDetails.Branch_Id,"[unknown_column] Column 'Size_Name' does not exist on table 'InventoryItem_Master' (unqualified reference, single-table query). | [unknown_column] Column 'Item_Type_Name' does not exist on table 'InventoryItem_Master' (unqualified reference, single-table query). | [unknown_column] Column 'Branch_Id' does not exist on table 'UserAccountRoleDetails' (selected in the scoping subquery's select-list) — did you mean 'BranchID'?.","SELECT Size_Name, SUM(Quantity) AS TotalStock FROM InventoryItem_Master iim WHERE Item_Type_Name = 'School Uniform' AND BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND IsDeleted = 0 GROUP BY Size_Name ORDER BY TotalStock ASC","What is the current stock level of school uniforms, and which sizes are running low?"
600,11.4,stop,FAIL,MaintenanceRepairCost,,[unknown_table] Table 'MaintenanceRepairCost' does not exist in the schema.,"SELECT SUM(mrc.Amount) AS TotalMaintenance FROM MaintenanceRepairCost mrc WHERE mrc.BranchID IN (SELECT Branch_Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date) AND mrc.CreatedDate >= DATEADD(QUARTER, -1, GETDATE()) AND (mrc.IsDeleted = 0 OR mrc.IsDeleted IS NULL)",What is the total maintenance and repair cost incurred for the fleet in the last quarter?
597,9.6,stop,FAIL,VehicleTrackingAlerts,,[unknown_table] Table 'VehicleTrackingAlerts' does not exist in the schema.,"SELECT COUNT(*) AS Alerts FROM VehicleTrackingAlerts vta WHERE vta.Created_Date >= DATEADD(DAY, -DATEPART(WEEKDAY, GETDATE()) + 1, CAST(GETDATE() AS DATE)) AND (vta.IsDeleted = 0 OR vta.IsDeleted IS NULL)","How many GPS tracking alerts (e.g., overspeeding, route deviation, unauthorized stops) were triggered this week?"
595,13.7,stop,FAIL,FuelConsumption_Details,,[unknown_table] Table 'FuelConsumption_Details' does not exist in the schema.,"SELECT AVG(fcd.Fuel_Required) AS AvgFuelPerMonth, AVG(fcd.Amount) AS AvgCostPerMonth FROM FuelConsumption_Details fcd WHERE fcd.BranchID IN (SELECT Branch_Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date) AND fcd.AcademicYearID = (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date) AND fcd.IsDeleted = 0",What is the average monthly fuel consumption and cost per vehicle?
594,11.9,stop,FAIL,ParentComplaint,,[unknown_table] Table 'ParentComplaint' does not exist in the schema.,"SELECT TOP 10 rm.Name AS RouteName, COUNT(*) AS Complaints FROM ParentComplaint pc INNER JOIN Route_Master rm ON pc.Route_ID = rm.ID WHERE MONTH(pc.ComplaintDate) = MONTH(GETDATE()) AND YEAR(pc.ComplaintDate) = YEAR(GETDATE()) AND (pc.IsDeleted = 0 OR pc.IsDeleted IS NULL) GROUP BY rm.Name ORDER BY COUNT(*) DESC",Which bus routes have the highest number of parent complaints or delays this month?
