audit_id,gen1_s,verdict1,n_hints,gen2_s,verdict2,final,unknown_tables_1,unknown_columns_1,unknown_tables_2,unknown_columns_2,sql2,question
611,11.1,FAIL,0,,,REFUSED_DOMAIN,Maintenance_Master,,,,SELECT COUNT(*) AS NonFunctional FROM Maintenance_Master mm WHERE (mm.IsDeleted = 0 OR mm.IsDeleted IS NULL) AND mm.BranchID IN (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (<scoping>)) AND (mm.Status_ID = 1 OR mm.Status_ID = 2),"How many smart boards, projectors, or tablets are currently under maintenance or non-functional?"
609,37.3,FAIL,0,,,REFUSED_DOMAIN,InventoryEntry; InventoryEntryDetails; Vendor_Master,FeesCollection.Vendor_ID,,,"SELECT TOP 1 v.Name AS VendorName, SUM(ied.Quantity) AS TotalQuantity, SUM(ied.Amount) AS TotalAmount, CASE WHEN SUM(paid.Amt) IS NULL THEN 0 ELSE SUM(paid.Amt) END AS PaidAmount, SUM(ied.Amount) - COALESCE(SUM(paid.Amt), 0) AS Outstanding FROM InventoryEntryDetails ied INNER JOIN InventoryEntry ie ON ied.HeaderID = ie.ID INNER JOIN Vendor_Master v ON ie.Vendor_ID = v.Id LEFT JOIN (SELECT fc2.Vendor_ID, ISNULL(SUM(fc2.Receipt_Amt), 0) AS Amt FROM FeesCollection fc2 WHERE fc2.ChequeStatus_ID IN (1, 2) AND (fc2.IsDeleted = 0 OR fc2.IsDeleted IS NULL) AND YEAR(fc2.Bill_Date) = YEAR(GETDATE()) GROUP BY fc2.Vendor_ID) paid ON ied.Vendor_ID = paid.Vendor_ID WHERE ie.BranchID IN (SELECT Branch_Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date) AND YEAR(ie.EntryDate) ","Which vendor has supplied the most inventory this year, and what is their pending payment status?"
607,12.9,FAIL,0,,,REFUSED_DOMAIN,LibraryIssueMaster; LibraryMemberShip,,,,"SELECT COUNT(*) AS LostOrOverdue FROM LibraryIssueMaster lim INNER JOIN LibraryMemberShip lmm ON lim.Member_ID = lmm.MemberID WHERE (lim.IsDeleted = 0 OR lim.IsDeleted IS NULL) AND lmm.IsActive = 1 AND (lim.IssueStatus_ID = 4 OR (lim.ReturnDate IS NULL AND DATEDIFF(DAY, lim.IssueDate, GETDATE()) > lim.NoOfDays))",How many library books are currently marked as lost or overdue by students?
604,10.6,FAIL,0,,,REFUSED_DOMAIN,FixedAssetDetails; FixedAssetMaster,UserAccountRoleDetails.Branch_Id,,,SELECT SUM(fad.PurchaseAmount) AS TotalFixedAssetValue FROM FixedAssetDetails fad INNER JOIN FixedAssetMaster fam ON fad.FixedAssetID = fam.Id WHERE fam.BranchID IN (SELECT Branch_Id FROM UserAccountRoleDetails WHERE UserID = @UserId) AND fam.IsDeleted = 0 AND fad.IsDeleted = 0,"What is the total current value of fixed assets (computers, lab equipment, furniture) registered in the ERP?"
603,15.0,FAIL,1,14.3,FAIL,FAIL_BOTH,,UserAccountRoleDetails.Branch_Id,InventoryType_Master,InventoryItem_Master.InventoryTypeID,"SELECT COUNT(*) AS TotalItems FROM InventoryItem_Master iim INNER JOIN InventoryType_Master itm ON iim.InventoryTypeID = itm.ID WHERE itm.Name IN ('Textbook', 'Stationery') AND (iim.IsDeleted IS NULL OR iim.IsDeleted = 0) AND iim.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId)",How many textbooks and notebooks are available in the school store for the next term?
602,12.5,FAIL,2,14.6,FAIL,FAIL_BOTH,,InventoryItem_Master.ItemCategory_Name; InventoryItem_Master.SizeName,,InventoryItem_Master.ItemCategory_Name,"SELECT SUM(iim.StockInHand) AS TotalStock, COUNT(*) AS ItemCount FROM InventoryItem_Master iim WHERE iim.ItemCategory_Name LIKE '%Uniform%' AND iim.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND (iim.IsDeleted IS NULL OR iim.IsDeleted = 0)","What is the current stock level of school uniforms, and which sizes are running low?"
600,14.3,FAIL,0,,,REFUSED_DOMAIN,MaintenanceRepairCost,,,,"SELECT SUM(mrc.Amount) AS TotalMaintenanceRepair FROM MaintenanceRepairCost mrc WHERE mrc.BranchID IN (SELECT Branch_Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (@UserId)) AND mrc.AcademicYearID = (SELECT Id FROM Branch_Academic_Details WHERE GETDATE() BETWEEN Start_Date AND End_Date AND Branch_Id IN (@UserId)) AND mrc.MonthName IN ('April', 'May', 'June')",What is the total maintenance and repair cost incurred for the fleet in the last quarter?
597,9.6,FAIL,0,,,REFUSED_DOMAIN,VehicleTrackingAlerts,,,,"SELECT COUNT(*) AS Alerts FROM VehicleTrackingAlerts vta WHERE vta.Created_Date >= DATEADD(DAY, -DATEPART(WEEKDAY, GETDATE()) + 1, CAST(GETDATE() AS DATE)) AND (vta.IsDeleted = 0 OR vta.IsDeleted IS NULL)","How many GPS tracking alerts (e.g., overspeeding, route deviation, unauthorized stops) were triggered this week?"
595,13.2,FAIL,1,16.6,FAIL,FAIL_BOTH,Fuel_Consumption_Details,UserAccountRoleDetails.Branch_Id,Fuel_Consumption_Details,,"SELECT AVG(fc.Fuel_Quantity) AS AvgMonthlyFuelConsumption, AVG(fc.Amount) AS AvgMonthlyCost FROM Fuel_Consumption_Details fc WHERE MONTH(fc.Bill_Date) = MONTH(GETDATE()) AND YEAR(fc.Bill_Date) = YEAR(GETDATE()) AND (fc.IsDeleted = 0 OR fc.IsDeleted IS NULL) AND fc.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId)",What is the average monthly fuel consumption and cost per vehicle?
594,12.3,FAIL,0,14.8,FAIL,FAIL_BOTH,ParentComplaint_Master,,ParentComplaint_Master,,"SELECT TOP 10 rm.Name AS RouteName, COUNT(*) AS ComplaintCount FROM ParentComplaint_Master pcm INNER JOIN Route_Master rm ON pcm.Route_ID = rm.ID WHERE pcm.BranchID IN (SELECT BranchID FROM UserAccountRoleDetails WHERE UserID = @UserId) AND pcm.ComplaintDate >= DATEADD(MONTH, DATEDIFF(MONTH, 0, GETDATE()), 0) GROUP BY rm.Name ORDER BY COUNT(*) DESC",Which bus routes have the highest number of parent complaints or delays this month?
